POST DATE,VENDOR,DESCRIPTION,QTY,INVOICE AMT,,,,,
10/28/14,BlueLine Rental,Tower Lights - Rental,1, $	270.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Rental,3, $	270.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Tax,1, $	192.42 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Rental Additonal,1, $	180.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Fuel,20, $	140.00 ,,,,,
10/28/14,BlueLine Rental,Tower Lights - Tax,1, $	126.97 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Tax,1, $	126.97 ,,,,,
10/17/14,BlueLine Rental,Tower Light Rental - One Day,1, $	90.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Delivery Charge Additonal,1, $	90.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Pickup Charge Additonal,1, $	90.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Rental,1, $	90.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Delivery Charge,1, $	90.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Pickup Charge,1, $	90.00 ,,,,,
10/17/14,BlueLine Rental,Tower Light - Delivery Charge,1, $	80.00 ,,,,,
10/17/14,BlueLine Rental,Tower Light - Pick Up Charge,1, $	80.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Delivery Charge,1, $	80.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Pickup Charge,1, $	80.00 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Tax,1, $	63.52 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Tax,1, $	51.09 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Tax Additonal,1, $	40.82 ,,,,,
10/17/14,BlueLine Rental,Tower Light - Tax,1, $	38.84 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Environmental Fee,1, $	18.00 ,,,,,
10/28/14,BlueLine Rental,Tower Lights - Environmental Fee,1, $	10.80 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Environmental Fee,1, $	10.80 ,,,,,
10/17/14,BlueLine Rental,Tower Light - Environmental Fee,1, $	3.60 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Environmental Fee Additonal,1, $	3.60 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Environmental Fee,1, $	3.60 ,,,,,
11/17/14,BlueLine Rental,Tower Lights - Environmental Fee,1, $	1.80 ,,,,,
11/06/14,CACEO,CACEO - Conference Registration Fee,6, $	960.00 ,,,,,
03/26/15,CACEO,CACEO - Class Fee,1, $	40.00 ,,,,,
07/29/14,Castro Street Fair,Castro Street Fair,1, $	225.00 ,,,,,
08/18/14,Center Hardware,Sheet Counter - Counter Base Cabinet,1," $	12,000.00 ",,,,,
08/18/14,Center Hardware,GPS - Aware GPS Plug In Trackers,100," $	8,500.00 ",,,,,
07/01/14,Center Hardware,"Shelves - Mobile Shelving, 48 x 18 x 69",30," $	6,420.00 ",,,,,
09/30/14,Center Hardware,,1," $	5,000.00 ",,,,,
01/07/15,Center Hardware,Purchase Order Increase,1," $	5,000.00 ",,,,,
10/17/14,Center Hardware,,," $	5,000.00 ",,,,,
10/28/14,Center Hardware,GPS - Aware GPS Plug In Trackers,40," $	3,400.00 ",,,,,
07/09/14,Center Hardware,IT - Cooler Email 250 K,1," $	1,469.41 ",,,,,
09/30/14,Center Hardware,IT - Cooler Email 250 K,1," $	1,469.41 ",,,,,
07/01/14,Center Hardware,Box - 48 x 40 x 36 Gaylord Box,70," $	1,221.50 ",,,,,
09/30/14,Center Hardware,Nixplay W18A Dig Photo Frame,3," $	1,125.00 ",,,,,
08/18/14,Center Hardware,Sheet Counter - Tax,1," $	1,050.00 ",,,,,
07/01/14,Center Hardware,"Tape - Gaffers 3"" x 60Yds",30, $	971.73 ,,,,,
07/09/14,Center Hardware,"Seals - Basco Seals, Blue Strap 5""","8,500", $	935.00 ,,,,,
07/09/14,Center Hardware,StreetSync Pro 6.0,1, $	916.00 ,,,,,
09/30/14,Center Hardware,"StreetStync Pro 6.0 - 1,000 Credits",1, $	916.00 ,,,,,
07/01/14,Center Hardware,Box - 15 x 12 x 10 Storage Box,500, $	875.00 ,,,,,
07/01/14,Center Hardware,Box - 40 x 30 x 30 Speed Pack,25, $	853.75 ,,,,,
08/18/14,Center Hardware,Tax,1, $	743.75 ,,,,,
07/09/14,Center Hardware,Cable Ties - 100PK,110, $	704.00 ,,,,,
07/09/14,Center Hardware,Distance Measurer - Bosch GLR225 ,4, $	662.00 ,,,,,
07/01/14,Center Hardware,"Gloves - Powder Free Gloves, Medium",62, $	620.00 ,,,,,
07/01/14,Center Hardware,Tax,1, $	601.15 ,,,,,
07/01/14,Center Hardware,"Gloves - Powder Free Gloves, Large",60, $	600.00 ,,,,,
10/17/14,Center Hardware,Sheet Counter - Suction Blade 371,3, $	600.00 ,,,,,
10/17/14,Center Hardware,Sheet Counter - Suction Blade #75,3, $	600.00 ,,,,,
07/01/14,Center Hardware,Tax,1, $	599.20 ,,,,,
07/01/14,Center Hardware,"Envelopes - 8 1/2 x 11 Press On, 50/ Ctn",8, $	560.00 ,,,,,
07/01/14,Center Hardware,Freight,1, $	525.84 ,,,,,
07/01/14,Center Hardware,"Gloves - Powder Free Gloves, Small",52, $	520.00 ,,,,,
07/01/14,Center Hardware,Box - Hardwood Carpet Dolly,10, $	450.00 ,,,,,
08/18/14,Center Hardware,Sheet Counter - Freight,1, $	440.00 ,,,,,
07/01/14,Center Hardware,Freight,1, $	432.55 ,,,,,
07/01/14,Center Hardware,"Shelves - Mobile Shelving, 48 x 18 x 69",2, $	428.00 ,,,,,
07/09/14,Center Hardware,GPS - Aware GPS Monthly Service,22, $	395.78 ,,,,,
09/30/14,Center Hardware,"Tags - Zip NFC, 5 Color",180, $	360.00 ,,,,,
09/30/14,Center Hardware,Service - ServRight T&M DF2,2, $	350.00 ,,,,,
07/01/14,Center Hardware,"Envelopes - 6 x 9 Press On, 50/ Ctn",8, $	344.00 ,,,,,
07/09/14,Center Hardware,Box - Blue 17 Liter ,17, $	339.83 ,,,,,
09/30/14,Center Hardware,Onsite Furniture Set Up,1, $	335.00 ,,,,,
10/17/14,Center Hardware,Service - ServRight Labor,1, $	312.50 ,,,,,
07/09/14,Center Hardware,IT - ASUS - RT - N660 Router,2, $	299.98 ,,,,,
10/28/14,Center Hardware,Tax,1, $	297.50 ,,,,,
09/30/14,Center Hardware,Bags - Nylon Rice Bags,72, $	288.00 ,,,,,
09/30/14,Center Hardware,Battery - Powersonic 6 Volt Battery,20, $	280.00 ,,,,,
09/30/14,Center Hardware,Service - ServRight T&M DF1 306528,1, $	275.00 ,,,,,
07/09/14,Center Hardware,Battery - Powersonic 6 Volt Battery,20, $	270.00 ,,,,,
09/30/14,Center Hardware,IT - Startech DP2VGA2 DP to VGA Adapter,10, $	249.90 ,,,,,
07/09/14,Center Hardware,IT - ASUS - RT - AC68W Router,1, $	249.00 ,,,,,
07/09/14,Center Hardware,Projector Screen - Elite Screen M120xWH2,1, $	245.00 ,,,,,
09/30/14,Center Hardware, Headset,35, $	245.00 ,,,,,
07/01/14,Center Hardware,Shrink Wrap - 15 x 1000 Blown Film,15, $	240.00 ,,,,,
07/09/14,Center Hardware,Box - Blue 17 Liter ,12, $	239.88 ,,,,,
09/30/14,Center Hardware,Light Beacon - 3 Layer ,, $	234.00 ,,,,,
10/17/14,Center Hardware,Netgear Prosafe GS110TP,1, $	229.99 ,,,,,
09/30/14,Center Hardware,Frames - 36 x 48 ,2, $	216.80 ,,,,,
07/01/14,Center Hardware,Bags - 18 x 24 Poly Bag,1, $	200.00 ,,,,,
10/17/14,Center Hardware,Service - ServRight - Install & Test,1, $	200.00 ,,,,,
07/09/14,Center Hardware,Washer - Elec Power 1900 PSI,1, $	189.99 ,,,,,
07/09/14,Center Hardware,"Tags - Yellow Circle Tags 2""",7, $	175.00 ,,,,,
07/09/14,Center Hardware,Clipper Card #1202032704,1, $	165.00 ,,,,,
07/09/14,Center Hardware,Cleaner - Citrus Depot Multi Purpose Solvent,1, $	165.00 ,,,,,
07/09/14,Center Hardware,Clipper Card #1202032705,1, $	159.00 ,,,,,
07/09/14,Center Hardware,Seals - A Rifkin White Fang Seals,"1,000", $	140.00 ,,,,,
10/17/14,Center Hardware,Service - ServRight - Ban - 1 Lower Lazer System Assembly,1, $	135.50 ,,,,,
10/17/14,Center Hardware,Service - ServRight - Led Receptacle,1, $	135.50 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 3/1/15,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 5/1/15,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 7/1/15,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 9/1/15,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 11/1/15,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 1/1/16,1, $	134.00 ,,,,,
10/17/14,Center Hardware,Semaphore ZP4 - 3/1/16,1, $	134.00 ,,,,,
07/09/14,Center Hardware,Clipper Card #1202940129,1, $	132.00 ,,,,,
07/09/14,Center Hardware,Bags - Anti - Static Bubble Bag 8 x 11.5,1, $	125.00 ,,,,,
10/17/14,Center Hardware,Sheet Counter - Insert Tape,1, $	125.00 ,,,,,
07/09/14,Center Hardware,Clipper Card #1202940128,1, $	122.00 ,,,,,
09/30/14,Center Hardware,Edge - Foam Sheet White - 24 x 24 x 1,12, $	121.20 ,,,,,
07/09/14,Center Hardware,Box - Blue 17 Liter ,6, $	119.94 ,,,,,
09/30/14,Center Hardware,Edge - Foam Sheet Charcoal - 24 x 24 x 1,12, $	118.80 ,,,,,
10/17/14,Center Hardware,RFID - D Link Dub E100 Ethwernet Adapter,4, $	115.96 ,,,,,
10/17/14,Center Hardware,Sheet Counter - Tax,1, $	115.94 ,,,,,
07/09/14,Center Hardware,Freight,1, $	115.00 ,,,,,
09/30/14,Center Hardware,"Power Cords - Blue, C14 to C13, 5'",20, $	104.60 ,,,,,
07/01/14,Center Hardware,"Uniform - Mens Cotton Lab Coat, White 40",3, $	102.00 ,,,,,
09/30/14,Center Hardware,Freight,, $	101.79 ,,,,,
09/30/14,Center Hardware,Tax,1, $	98.44 ,,,,,
09/30/14,Center Hardware,"Seals - Basco Seals, Blue Strap 5""",800, $	96.00 ,,,,,
07/09/14,Center Hardware,Clipper Card #1202940127,1, $	88.00 ,,,,,
09/30/14,Center Hardware,Freight,1, $	86.44 ,,,,,
09/30/14,Center Hardware,Freight,, $	86.44 ,,,,,
10/17/14,Center Hardware,Foam Sheet - 24 x 24 x 2 (RFID Storage),6, $	85.50 ,,,,,
07/01/14,Center Hardware,Tax,1, $	85.03 ,,,,,
09/30/14,Center Hardware,"Seals - Basco Seals, Blue Strap 5""",, $	84.00 ,,,,,
09/30/14,Center Hardware,"Pouches - Storage Pouches, Clear",25, $	82.25 ,,,,,
10/17/14,Center Hardware,Tax,1, $	82.08 ,,,,,
07/09/14,Center Hardware,Tax,1, $	81.81 ,,,,,
07/09/14,Center Hardware,Tape - Duck 2 x 20 YD White,15, $	80.87 ,,,,,
09/30/14,Center Hardware,Freight,1, $	80.60 ,,,,,
07/09/14,Center Hardware,Tax,1, $	80.15 ,,,,,
09/30/14,Center Hardware,Tax,1, $	80.15 ,,,,,
09/30/14,Center Hardware,Bags - Tax,1, $	70.70 ,,,,,
07/01/14,Center Hardware,"Gloves - Powder Free Gloves, Extra Large",7, $	70.00 ,,,,,
07/01/14,Center Hardware,"Uniform - Mens Cotton Lab Coat, White 44",2, $	68.00 ,,,,,
07/09/14,Center Hardware,Bags - Anti - Static Bubble Bag 8 x 11.5,1, $	64.99 ,,,,,
10/17/14,Center Hardware,"Light Bulb - 36"", F30 T8 CW Ge",6, $	64.75 ,,,,,
10/17/14,Center Hardware,Service - ServRight - Install & Test - Travel,1, $	62.50 ,,,,,
07/09/14,Center Hardware,"Gloves - Nitrile Small, Box of 100",4, $	62.24 ,,,,,
07/09/14,Center Hardware,"Gloves - Nitrile Medium, Box of 101",4, $	62.24 ,,,,,
07/09/14,Center Hardware,"Gloves - Nitrile Large, Box of 102",4, $	62.24 ,,,,,
07/09/14,Center Hardware,Tax,1, $	61.60 ,,,,,
10/17/14,Center Hardware,Outlet - Tripp Lite RS1215 - RA,1, $	61.45 ,,,,,
10/17/14,Center Hardware,"Light Bulb - 48"", 32W T8 NUTL WHT GE",11, $	59.30 ,,,,,
07/09/14,Center Hardware,Tax,1, $	58.28 ,,,,,
07/09/14,Center Hardware,Tax,1, $	57.93 ,,,,,
10/17/14,Center Hardware,Tax,1, $	52.50 ,,,,,
07/09/14,Center Hardware,Tax,1, $	48.04 ,,,,,
07/09/14,Center Hardware,Freight,1, $	48.00 ,,,,,
07/09/14,Center Hardware,Bins - Akro Container ,2, $	45.98 ,,,,,
10/17/14,Center Hardware,Freight,1, $	45.50 ,,,,,
07/09/14,Center Hardware,Freight,1, $	43.21 ,,,,,
10/17/14,Center Hardware,"Screws - PPH Drill Screw 8-18 x 1, PK of 100",1, $	42.45 ,,,,,
10/17/14,Center Hardware,Sheet Counter - Freight,1, $	42.00 ,,,,,
07/09/14,Center Hardware,Lights - Energy Saving Lighbulbs - 60W,50, $	40.00 ,,,,,
07/01/14,Center Hardware,"Labels - 3 1/2 x 5 Laser Labels, Green",1, $	39.00 ,,,,,
07/01/14,Center Hardware,"Labels - 3 1/2 x 5 Laser Labels, Yellow",1, $	39.00 ,,,,,
07/09/14,Center Hardware,Freight,1, $	38.00 ,,,,,
07/09/14,Center Hardware,Inflator - Campbell Hausfield RP3200 ,1, $	34.99 ,,,,,
07/01/14,Center Hardware,"Uniform - Mens Cotton Lab Coat, White 42",1, $	34.00 ,,,,,
07/01/14,Center Hardware,"Uniform - Mens Cotton Lab Coat, White 46",1, $	34.00 ,,,,,
07/09/14,Center Hardware,Tax,1, $	32.96 ,,,,,
09/30/14,Center Hardware,"Light Bulb - 36"", F30 T8 CW Ge",3, $	32.37 ,,,,,
09/30/14,Center Hardware,Freight,1, $	31.97 ,,,,,
09/30/14,Center Hardware,Tax,1, $	31.50 ,,,,,
10/17/14,Center Hardware,"Cable Ties - 14"" White, 100 Pk",2, $	29.98 ,,,,,
07/09/14,Center Hardware,Tax,1, $	29.74 ,,,,,
10/17/14,Center Hardware,Headphones - Sennheiser HD201,1, $	27.99 ,,,,,
07/09/14,Center Hardware,Projector Screen - Elite Screen Bracket,1, $	26.25 ,,,,,
09/30/14,Center Hardware,Battery - Freight,1, $	24.50 ,,,,,
10/17/14,Center Hardware,Tax,1, $	23.71 ,,,,,
07/09/14,Center Hardware,Tax,1, $	23.63 ,,,,,
09/30/14,Center Hardware,Tax,1, $	21.87 ,,,,,
07/09/14,Center Hardware,Tax,1, $	21.44 ,,,,,
09/30/14,Center Hardware,Tax,1, $	21.44 ,,,,,
09/30/14,Center Hardware,Edge - Freight,1, $	21.07 ,,,,,
07/09/14,Center Hardware,Tax,1, $	20.99 ,,,,,
09/30/14,Center Hardware,Tax,, $	20.48 ,,,,,
10/17/14,Center Hardware,Tax,1, $	20.12 ,,,,,
07/09/14,Center Hardware,Freight,1, $	20.00 ,,,,,
07/09/14,Center Hardware,Clipper Card Replacment Cards,2, $	20.00 ,,,,,
10/17/14,Center Hardware,Wheels - 3 x 1/3 Trap Caster Wheels,4, $	19.96 ,,,,,
09/30/14,Center Hardware,Tax,1, $	18.97 ,,,,,
07/09/14,Center Hardware,Freight,1, $	18.00 ,,,,,
09/30/14,Center Hardware,Tape - Super Strength Molding Tape,1, $	17.99 ,,,,,
07/09/14,Center Hardware,"Bags - Ziploc Storage Bags, 20 Pk",5, $	17.96 ,,,,,
09/30/14,Center Hardware,"Light Bulb - 48"", 32W T8 NUTL WHT GE",3, $	16.17 ,,,,,
07/09/14,Center Hardware,Tax,1, $	15.31 ,,,,,
10/17/14,Center Hardware,Freight,1, $	15.18 ,,,,,
10/17/14,Center Hardware,"Cable Ties - 14"" White, 100 Pk",1, $	14.99 ,,,,,
07/09/14,Center Hardware,Tax,1, $	14.44 ,,,,,
10/17/14,Center Hardware,"Cable Ties - 11"" White, 100 Pk",1, $	13.99 ,,,,,
10/17/14,Center Hardware,"Tool - 15"" 9PT Aggresv Tooth Saw",1, $	13.49 ,,,,,
07/09/14,Center Hardware,GPS - Aware GPS Reactivation,2, $	13.00 ,,,,,
07/09/14,Center Hardware,"Ring Tags - 1 1/4"" Paper Tag With Ring, 25 Pk",2, $	12.58 ,,,,,
07/09/14,Center Hardware,Freight,1, $	12.50 ,,,,,
07/09/14,Center Hardware,Freight,1, $	12.49 ,,,,,
07/09/14,Center Hardware,Tax,1, $	12.25 ,,,,,
07/09/14,Center Hardware,Cleaner - Microfiber Auto Cloth - 3 PK,4, $	12.00 ,,,,,
07/09/14,Center Hardware,Cleaner - Sprayer - 3 PK,2, $	11.98 ,,,,,
10/17/14,Center Hardware,Freight,1, $	11.19 ,,,,,
07/09/14,Center Hardware,Tax,1, $	10.94 ,,,,,
10/17/14,Center Hardware,Tax,1, $	10.85 ,,,,,
07/09/14,Center Hardware,Tax,1, $	10.49 ,,,,,
10/17/14,Center Hardware,Tax,1, $	10.15 ,,,,,
09/30/14,Center Hardware,Freight,1, $	10.00 ,,,,,
07/09/14,Center Hardware,Freight,1, $	9.93 ,,,,,
09/30/14,Center Hardware,Tax,1, $	9.15 ,,,,,
07/09/14,Center Hardware,"Tape - Tape Duck, White, 1.88 x 60 Yd",1, $	8.99 ,,,,,
09/30/14,Center Hardware,Tax,1, $	8.40 ,,,,,
09/30/14,Center Hardware,Tax,, $	8.40 ,,,,,
07/09/14,Center Hardware,"Screws - USS HX CP GR.5 1/4 x 3/4, Pk of 100",, $	8.36 ,,,,,
10/17/14,Center Hardware,Tax,1, $	7.48 ,,,,,
09/30/14,Center Hardware,Tax,1, $	7.20 ,,,,,
07/09/14,Center Hardware,Tax,1, $	7.08 ,,,,,
07/09/14,Center Hardware,Tax,1, $	5.69 ,,,,,
10/17/14,Center Hardware,Tax,1, $	5.38 ,,,,,
10/17/14,Center Hardware,Tax,1, $	4.86 ,,,,,
09/30/14,Center Hardware,Tax,1, $	4.25 ,,,,,
07/09/14,Center Hardware,Tax,1, $	3.50 ,,,,,
10/17/14,Center Hardware,"Nails - Common Nail 8D 2.5"" 1#",1, $	3.49 ,,,,,
07/09/14,Center Hardware,Tax,1, $	2.67 ,,,,,
10/17/14,Center Hardware,Tax,1, $	2.45 ,,,,,
10/17/14,Center Hardware,Tax,1, $	2.36 ,,,,,
07/09/14,Center Hardware,Tax,1, $	2.30 ,,,,,
10/17/14,Center Hardware,Screws - Bit 1/8 Thunderbolt BO,1, $	2.29 ,,,,,
07/09/14,Center Hardware,Tax,1, $	1.99 ,,,,,
10/17/14,Center Hardware,Tax,1, $	1.75 ,,,,,
07/09/14,Center Hardware,Screws - Bit 3/16 Thunderbolt ,1, $	1.61 ,,,,,
09/30/14,Center Hardware,Tax,1, $	1.57 ,,,,,
07/09/14,Center Hardware,Screws - Bit 11/64 Thunderbolt ,1, $	1.34 ,,,,,
10/17/14,Center Hardware,Tax,1, $	1.10 ,,,,,
07/09/14,Center Hardware,Tax,1, $	1.04 ,,,,,
07/09/14,Center Hardware,Tax,, $	0.73 ,,,,,
12/23/14,Center Hardware - HAVA GRANT,Ramps - 3/4 Threshold Ramp,4, $	338.00 ,,,,,
12/23/14,Center Hardware - HAVA GRANT,Worklight - Utilitech,3, $	329.97 ,,,,,
12/23/14,Center Hardware - HAVA GRANT,Ramps - 1 Threshold Ramp,3, $	283.50 ,,,,,
10/24/14,Center Hardware - HAVA GRANT,Ramps - Suitcase Style Ramp,1, $	255.00 ,,,,,
12/05/14,Center Hardware - HAVA GRANT,Worklight - Klutch 2 - Head Tripod,1, $	165.00 ,,,,,
10/24/14,Center Hardware - HAVA GRANT,Ramps - Threshold Mats,3, $	164.97 ,,,,,
12/23/14,Center Hardware - HAVA GRANT,Tax,1, $	86.40 ,,,,,
10/24/14,Center Hardware - HAVA GRANT,Ramps - 3/4 Threshold Ramp,1, $	72.00 ,,,,,
10/24/14,Center Hardware - HAVA GRANT,Tax,1, $	43.05 ,,,,,
12/23/14,Center Hardware - HAVA GRANT,"PowerTape - Stanley, 1"" x 25'",3, $	35.97 ,,,,,
12/05/14,Center Hardware - HAVA GRANT,Worklight - Tax,1, $	14.44 ,,,,,
10/24/14,Center Hardware - HAVA GRANT,Freight,1, $	12.00 ,,,,,
12/05/14,Center Hardware - HAVA GRANT,Worklight - Freight,1, $	9.83 ,,,,,
07/01/14,Cenveo,"Envelopes - 12 x 18 Be A Voter, Per Thousand",4," $	2,201.88 ",,,,,
04/16/15,Cenveo,"Envelopes - #9 Regular, No Window, Green Corner",," $	1,120.00 ",,,,,
07/01/14,Cenveo,Envelopes - #10 Standard Window Envelopes,40," $	1,092.00 ",,,,,
04/16/15,Cenveo,Envelopes - #10 Standard Window Envelopes,," $	1,072.00 ",,,,,
12/04/14,Cenveo,Envelopes - 9 x 12 ,5, $	788.00 ,,,,,
07/01/14,Cenveo,Envelopes - 12 x 18 Be A Voter Over Run,1, $	550.47 ,,,,,
12/04/14,Cenveo,Envelopes - 9 x 12 ,1, $	500.00 ,,,,,
12/04/14,Cenveo,Envelopes - Size #12,1, $	500.00 ,,,,,
07/01/14,Cenveo,Tax,1, $	240.83 ,,,,,
04/16/15,Cenveo,Envelopes - Tax,, $	206.50 ,,,,,
,Cenveo,Purchase Order Increase,1, $	200.00 ,,,,,
12/04/14,Cenveo,Envelopes - Size #12,1, $	166.80 ,,,,,
07/01/14,Cenveo,Tax,1, $	78.59 ,,,,,
07/01/14,Cenveo,Freight,16, $	76.96 ,,,,,
12/04/14,Cenveo,Envelopes - 9 x 12 Tax,1, $	68.95 ,,,,,
04/16/15,Cenveo,Envelopes - Freight,, $	64.00 ,,,,,
07/01/14,Cenveo,Color Ink Cahrge,1, $	20.00 ,,,,,
07/01/14,Cenveo,Typesetting Charge,1, $	20.00 ,,,,,
12/04/14,Cenveo,Envelopes - Size #12 - Plates,1, $	20.00 ,,,,,
04/16/15,Cenveo,Envelopes - Colored Ink,, $	20.00 ,,,,,
12/04/14,Cenveo,Envelopes - Size #12 - Tax,1, $	16.35 ,,,,,
12/04/14,Cenveo,Envelopes - Size #12 - Freight,1, $	4.00 ,,,,,
07/16/14,Chinatown Mercants Association,Autumn Moon Festival Street Fair,1, $	575.00 ,,,,,
07/09/14,Civic Center Plaza Garage,Garage Rent - Permit Parking,1," $	3,750.50 ",,,,,
07/09/14,Civic Center Plaza Garage,Garage Rent,1," $	1,248.00 ",,,,,
07/09/14,Civic Center Plaza Garage,Garage Rent,4, $	832.00 ,,,,,
07/09/14,Civic Center Plaza Garage,Garage Rent,1, $	832.00 ,,,,,
07/09/14,Civic Center Plaza Garage,Garage Rent,1, $	500.00 ,,,,,
